Date,dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
2017-07-11,75.28125,75.09961000000112,127.71875,100.59960900000078,171.03906199999983
2017-07-12,162.31835999999748,75.28125,75.09961000000112,127.71875,100.59960900000078
2017-07-13,112.859375,162.31835999999748,75.28125,75.09961000000112,127.71875
2017-07-14,56.36132799999905,112.859375,162.31835999999748,75.28125,75.09961000000112
2017-07-17,159.8085940000019,56.36132799999905,112.859375,162.31835999999748,75.28125
2017-07-18,44.15039099999922,159.8085940000019,56.36132799999905,112.859375,162.31835999999748
2017-07-19,118.79882799999905,44.15039099999922,159.8085940000019,56.36132799999905,112.859375
2017-07-20,74.91015600000173,118.79882799999905,44.15039099999922,159.8085940000019,56.36132799999905
2017-07-21,84.94921800000157,74.91015600000173,118.79882799999905,44.15039099999922,159.8085940000019
2017-07-24,88.83007799999905,84.94921800000157,74.91015600000173,118.79882799999905,44.15039099999922
2017-07-25,81.64843800000017,88.83007799999905,84.94921800000157,74.91015600000173,118.79882799999905
2017-07-26,93.25,81.64843800000017,88.83007799999905,84.94921800000157,74.91015600000173
2017-07-27,59.410155999998096,93.25,81.64843800000017,88.83007799999905,84.94921800000157
2017-07-28,110.62109399999827,59.410155999998096,93.25,81.64843800000017,88.83007799999905
2017-07-31,85.06054700000095,110.62109399999827,59.410155999998096,93.25,81.64843800000017
2017-08-01,68.08984300000157,85.06054700000095,110.62109399999827,59.410155999998096,93.25
2017-08-02,50.15039099999922,68.08984300000157,85.06054700000095,110.62109399999827,59.410155999998096
2017-08-03,68.63867100000061,50.15039099999922,68.08984300000157,85.06054700000095,110.62109399999827
2017-08-04,53.52929600000061,68.63867100000061,50.15039099999922,68.08984300000157,85.06054700000095
2017-08-07,68.16992200000095,53.52929600000061,68.63867100000061,50.15039099999922,68.08984300000157
2017-08-08,39.17968800000017,68.16992200000095,53.52929600000061,68.63867100000061,50.15039099999922
2017-08-09,121.82031199999983,39.17968800000017,68.16992200000095,53.52929600000061,68.63867100000061
2017-08-10,60.5,121.82031199999983,39.17968800000017,68.16992200000095,53.52929600000061
2017-08-11,144.25976599999922,60.5,121.82031199999983,39.17968800000017,68.16992200000095
2017-08-14,68.34960999999748,144.25976599999922,60.5,121.82031199999983,39.17968800000017
2017-08-15,73.58984399999827,68.34960999999748,144.25976599999922,60.5,121.82031199999983
2017-08-16,67.43945300000269,73.58984399999827,68.34960999999748,144.25976599999922,60.5
2017-08-17,83.24023500000112,67.43945300000269,73.58984399999827,68.34960999999748,144.25976599999922
2017-08-18,234.4199210000006,83.24023500000112,67.43945300000269,73.58984399999827,68.34960999999748
2017-08-21,151.71875,234.4199210000006,83.24023500000112,67.43945300000269,73.58984399999827
2017-08-22,118.40039000000252,151.71875,234.4199210000006,83.24023500000112,67.43945300000269
2017-08-23,174.69921899999827,118.40039000000252,151.71875,234.4199210000006,83.24023500000112
2017-08-24,58.269531000001734,174.69921899999827,118.40039000000252,151.71875,234.4199210000006
2017-08-25,104.28906199999983,58.269531000001734,174.69921899999827,118.40039000000252,151.71875
2017-08-28,94.04882799999905,104.28906199999983,58.269531000001734,174.69921899999827,118.40039000000252
2017-08-29,93.55078100000173,94.04882799999905,104.28906199999983,58.269531000001734,174.69921899999827
2017-08-30,205.640625,93.55078100000173,94.04882799999905,104.28906199999983,58.269531000001734
2017-08-31,74.78906300000017,205.640625,93.55078100000173,94.04882799999905,104.28906199999983
2017-09-01,75.25976599999922,74.78906300000017,205.640625,93.55078100000173,94.04882799999905
2017-09-05,64.06054699999731,75.25976599999922,74.78906300000017,205.640625,93.55078100000173
2017-09-06,211.45898499999748,64.06054699999731,75.25976599999922,74.78906300000017,205.640625
2017-09-07,55.16992100000061,211.45898499999748,64.06054699999731,75.25976599999922,74.78906300000017
2017-09-08,104.29882799999905,55.16992100000061,211.45898499999748,64.06054699999731,75.25976599999922
2017-09-11,115.51171800000157,104.29882799999905,55.16992100000061,211.45898499999748,64.06054699999731
2017-09-12,139.3105460000006,115.51171800000157,104.29882799999905,55.16992100000061,211.45898499999748
2017-09-13,47.480469000001904,139.3105460000006,115.51171800000157,104.29882799999905,55.16992100000061
2017-09-14,62.390625,47.480469000001904,139.3105460000006,115.51171800000157,104.29882799999905
2017-09-15,81.17968699999983,62.390625,47.480469000001904,139.3105460000006,115.51171800000157
2017-09-18,60.5,81.17968699999983,62.390625,47.480469000001904,139.3105460000006
2017-09-19,72.26953199999843,60.5,81.17968699999983,62.390625,47.480469000001904
2017-09-20,45.29882799999905,72.26953199999843,60.5,81.17968699999983,62.390625
2017-09-21,98.58007799999905,45.29882799999905,72.26953199999843,60.5,81.17968699999983
2017-09-22,62.95898499999748,98.58007799999905,45.29882799999905,72.26953199999843,60.5
2017-09-25,64.7304690000019,62.95898499999748,98.58007799999905,45.29882799999905,72.26953199999843
2017-09-26,140.77148400000078,64.7304690000019,62.95898499999748,98.58007799999905,45.29882799999905
2017-09-27,89.83007799999905,140.77148400000078,64.7304690000019,62.95898499999748,98.58007799999905
2017-09-28,116.16992100000061,89.83007799999905,140.77148400000078,64.7304690000019,62.95898499999748
2017-09-29,105.76953100000173,116.16992100000061,89.83007799999905,140.77148400000078,64.7304690000019
2017-10-02,72.66992100000061,105.76953100000173,116.16992100000061,89.83007799999905,140.77148400000078
2017-10-03,143.38085900000078,72.66992100000061,105.76953100000173,116.16992100000061,89.83007799999905
2017-10-04,83.41992200000095,143.38085900000078,72.66992100000061,105.76953100000173,116.16992100000061
2017-10-05,53.138671999997314,83.41992200000095,143.38085900000078,72.66992100000061,105.76953100000173
