,Date,VIX_change_type,"('polarity', 'mean')","('polarity', 'max')","('polarity', 'min')","('word_mentions', 'sum')","('dot', 'sum')","('DT', 'count')",dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
3434,2017-08-22,-1,-0.06730519485714284,0.13636363599999998,-0.5075,0.0,0.0,7.0,118.40039000000252,151.71875,234.4199210000006,83.24023500000112,67.43945300000269
3435,2017-08-23,-1,0.387083333375,1.0,-0.475,0.0,0.0,8.0,174.6992189999983,118.40039000000252,151.71875,234.4199210000006,83.24023500000112
3436,2017-08-24,0,0.30457175925,1.0,-0.15625,0.0,4.0,12.0,58.26953100000173,174.6992189999983,118.40039000000252,151.71875,234.4199210000006
3437,2017-08-25,0,0.20430555558333338,0.9,-0.18333333300000001,0.0,2.0,12.0,104.28906199999984,58.26953100000173,174.6992189999983,118.40039000000252,151.71875
3438,2017-08-28,0,0.32488715279166663,1.0,-0.4,4.0,0.0,24.0,94.04882799999905,104.28906199999984,58.26953100000173,174.6992189999983,118.40039000000252
3439,2017-08-29,1,0.25,0.5,0.0,0.0,0.0,2.0,93.55078100000172,94.04882799999905,104.28906199999984,58.26953100000173,174.6992189999983
3440,2017-08-30,-1,-0.027083333499999973,0.583333333,-0.6375,0.0,0.0,2.0,205.640625,93.55078100000172,94.04882799999905,104.28906199999984,58.26953100000173
3441,2017-08-31,0,0.1046428572,1.0,-0.875,0.0,0.0,5.0,74.78906300000017,205.640625,93.55078100000172,94.04882799999905,104.28906199999984
3442,2017-09-01,-1,0.0,0.0,0.0,0.0,0.0,0.0,75.25976599999922,74.78906300000017,205.640625,93.55078100000172,94.04882799999905
3443,2017-09-05,1,0.15,0.25,0.0,1.0,0.0,3.0,64.06054699999731,75.25976599999922,74.78906300000017,205.640625,93.55078100000172
3444,2017-09-06,0,0.065,0.75,-0.625,0.0,0.0,5.0,211.45898499999748,64.06054699999731,75.25976599999922,74.78906300000017,205.640625
3445,2017-09-07,0,0.23750000000000002,1.0,0.0,1.0,0.0,9.0,55.16992100000061,211.45898499999748,64.06054699999731,75.25976599999922,74.78906300000017
3446,2017-09-08,0,0.2723015872857143,1.0,-0.0625,0.0,0.0,7.0,104.29882799999905,55.16992100000061,211.45898499999748,64.06054699999731,75.25976599999922
3447,2017-09-11,0,0.1342045454545455,0.625,-0.5125,0.0,3.0,11.0,115.51171800000157,104.29882799999905,55.16992100000061,211.45898499999748,64.06054699999731
3448,2017-09-12,-1,0.3357001133333333,0.9,0.0,0.0,0.0,3.0,139.31054600000058,115.51171800000157,104.29882799999905,55.16992100000061,211.45898499999748
3449,2017-09-13,0,0.09861111099999999,0.25,0.0,0.0,0.0,3.0,47.4804690000019,139.31054600000058,115.51171800000157,104.29882799999905,55.16992100000061
3450,2017-09-14,0,0.14320496625,0.625,-0.75,4.0,1.0,12.0,62.390625,47.4804690000019,139.31054600000058,115.51171800000157,104.29882799999905
3451,2017-09-15,0,-0.030555555555555558,0.35,-0.4375,0.0,3.0,9.0,81.17968699999983,62.390625,47.4804690000019,139.31054600000058,115.51171800000157
3452,2017-09-18,0,0.22329806,1.0,-1.0,7.0,2.0,18.0,60.5,81.17968699999983,62.390625,47.4804690000019,139.31054600000058
3453,2017-09-19,0,0.2977272727272728,0.9,0.0,0.0,0.0,11.0,72.26953199999843,60.5,81.17968699999983,62.390625,47.4804690000019
3454,2017-09-20,0,0.3087200125625,1.0,-0.566666667,0.0,1.0,16.0,45.29882799999905,72.26953199999843,60.5,81.17968699999983,62.390625
3455,2017-09-21,0,0.28069930909090907,1.0,-0.00271164,1.0,0.0,11.0,98.58007799999905,45.29882799999905,72.26953199999843,60.5,81.17968699999983
